united_code,lake,date,year,month,jd,time,depth,light_percent,light_situ,log_e_light,flag
114_1997-06-24,114,1997-06-24,1997,6,175,7:57:00,2,17.03,27.6,3.317815773,no
114_1997-06-24,114,1997-06-24,1997,6,175,7:57:00,3,9.94,16.1,2.778819272,no
114_1997-06-24,114,1997-06-24,1997,6,175,7:57:00,4,4.88,7.9,2.066862759,no
114_1997-06-24,114,1997-06-24,1997,6,175,7:57:00,5,0.19,0.3,-1.203972804,yes
114_1997-07-08,114,1997-07-08,1997,7,189,8:35:00,0,100,143,4.96284463,yes
114_1997-07-08,114,1997-07-08,1997,7,189,8:35:00,0.5,38.11,54.5,3.998200702,no
114_1997-07-08,114,1997-07-08,1997,7,189,8:35:00,1,26.08,37.3,3.618993327,no
114_1997-07-08,114,1997-07-08,1997,7,189,8:35:00,2,16.85,24.1,3.18221184,no
114_1997-07-08,114,1997-07-08,1997,7,189,8:35:00,3,10.06,14.4,2.667228207,no
114_1997-07-08,114,1997-07-08,1997,7,189,8:35:00,4,6.99,10,2.302585093,no
114_1997-07-22,114,1997-07-22,1997,7,203,8:45:00,0,100,202,5.308267697,yes
114_1997-07-22,114,1997-07-22,1997,7,203,8:45:00,0.5,31.23,63.1,4.14472077,no
114_1997-07-22,114,1997-07-22,1997,7,203,8:45:00,1,18.81,38,3.63758616,no
114_1997-07-22,114,1997-07-22,1997,7,203,8:45:00,2,8.86,17.9,2.884800713,no
114_1997-07-22,114,1997-07-22,1997,7,203,8:45:00,3,5.64,11.4,2.433613355,no
114_1997-07-22,114,1997-07-22,1997,7,203,8:45:00,4,3.32,6.7,1.902107526,no
114_1997-07-22,114,1997-07-22,1997,7,203,8:45:00,5,1.58,3.2,1.16315081,no
114_1997-08-04,114,1997-08-04,1997,8,216,8:20:00,0,100,174,5.159055299,yes
114_1997-08-04,114,1997-08-04,1997,8,216,8:20:00,0.5,28.73,50,3.912023005,no
114_1997-08-04,114,1997-08-04,1997,8,216,8:20:00,1,21.09,36.7,3.602776755,no
114_1997-08-04,114,1997-08-04,1997,8,216,8:20:00,2,15.28,26.6,3.280911216,no
114_1997-08-04,114,1997-08-04,1997,8,216,8:20:00,2.5,13.04,22.7,3.122364924,no
114_1997-08-04,114,1997-08-04,1997,8,216,8:20:00,3,10.05,17.5,2.862200881,no
114_1997-08-04,114,1997-08-04,1997,8,216,8:20:00,3.5,8.33,14.5,2.674148649,no
114_1997-08-04,114,1997-08-04,1997,8,216,8:20:00,4,6.26,10.9,2.388762789,no
114_1997-08-04,114,1997-08-04,1997,8,216,8:20:00,4.5,5.23,9.1,2.208274414,no
114_1997-08-19,114,1997-08-19,1997,8,231,8:38:00,0,100,208,5.33753808,yes
114_1997-08-19,114,1997-08-19,1997,8,231,8:38:00,0.5,35.57,74,4.304065093,no
114_1997-08-19,114,1997-08-19,1997,8,231,8:38:00,1,25.48,53,3.970291914,no
114_1997-08-19,114,1997-08-19,1997,8,231,8:38:00,2,15.86,33,3.496507561,no
114_1997-08-19,114,1997-08-19,1997,8,231,8:38:00,3,10.57,22,3.091042453,no
114_1997-08-19,114,1997-08-19,1997,8,231,8:38:00,4,6.44,13.4,2.595254707,no
114_1997-09-02,114,1997-09-02,1997,9,245,7:25:00,0,100,75,4.317488114,yes
114_1997-09-02,114,1997-09-02,1997,9,245,7:25:00,0.5,41.33,31,3.433987204,yes
114_1997-09-02,114,1997-09-02,1997,9,245,7:25:00,1,22.93,17.2,2.844909384,no
